time,active_db_conn_count,active_tx_count,active_users,call_count,cpu_time,cpu_usage,db_sessions,extcall_count,extcall_time,fail_count,fetch_count,fetch_time,fgc,fgct,file_count,gc_count,gc_time,heap_usage,jvm_free_heap,jvm_heap_size,jvm_mem_size,jvm_used_heap,os_free_memory,os_rcv_packets,os_send_packets,os_total_memory,prepare_count,prepare_time,response_time,socket_count,sql_count,sql_time,tgc,tgct,thread_count,tps,ygc,ygct
2022-04-16 00:00:00,0.0,0.0,0.05,0.45,0.214,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.1,0.45,10.6974,25702.55,125440.0,686584.0,99737.45,1.32914372E7,127.55,97.3,3.2641244E7,0.2,0,9.7307,0.0,0.2,9.65,0.1,0.45,174.8,0.4333,0.1,0.45
2022-04-16 00:01:00,0.0,0.0,0.05,0.45,0.1704,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.15,10.9038,23777.55,125440.0,686584.0,101662.45,1.32999398E7,126.2,100.4,3.2641244E7,0.1,0,5.0769,0.0,0.1,4.75,0.05,0.15,174.15,0.4333,0.05,0.15
2022-04-16 00:02:00,0.05,0.05,0.15,0.5,0.162,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.45,11.0569,22350.4,125440.0,686584.0,103089.6,1.33368272E7,147.35,107.1,3.2641244E7,0.2,0,8.9655,0.0,0.2,10.1,0.05,0.45,174.0,0.4833,0.05,0.45
2022-04-16 00:03:00,0.0,0.0,0.05,0.25,0.1714,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.15,11.364,19486.7,125440.0,686584.0,105953.3,1.33807768E7,116.2,94.4,3.2641244E7,0.1,0,20.0,0.0,0.1,10.95,0.05,0.15,174.0,0.25,0.05,0.15
2022-04-16 00:04:00,0.0,0.0,0.1,0.65,0.1739,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.4,11.3675,19454.8,125440.0,686417.8,105985.2,1.34224728E7,131.5,107.4,3.2641244E7,0.2,0,7.2105,0.0,0.2,10.25,0.05,0.4,172.45,0.6333,0.05,0.4
2022-04-16 00:05:00,0.0,0.0,0.05,0.15,0.271,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.0,0.0,11.2533,20519.55,125440.0,686288.2,104920.45,2.38722578E7,123.05,93.55,3.2641244E7,0.1,0,14.8888,0.0,0.1,4.85,0.0,0.0,171.05,0.15,0.0,0.0
2022-04-16 00:06:00,0.0,0.0,0.1,0.85,0.244,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.5,11.5332,17909.55,125440.0,686204.2,107530.45,2.39407556E7,128.35,105.2,3.2641244E7,0.2,0,16.7843,0.0,0.2,10.75,0.05,0.5,170.05,0.85,0.05,0.5
2022-04-16 00:07:00,0.0,0.0,0.05,0.6,0.1729,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.3,11.3849,18805.85,124953.6,686200.0,106147.75,2.38826802E7,116.25,94.75,3.2641244E7,0.1,0,4.2222,0.0,0.1,4.8,0.05,0.3,170.0,0.6,0.05,0.3
2022-04-16 00:08:00,0.0,0.0,0.1,0.85,0.166,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.15,11.5721,17521.55,125414.4,686131.6,107892.85,2.38832958E7,155.5,113.2,3.2641244E7,0.2,0,5.0784,0.0,0.2,9.8,0.05,0.15,169.05,0.85,0.05,0.15
2022-04-16 00:09:00,0.0,0.0,0.05,0.6,0.1714,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.3,11.4796,18409.3,125440.0,686128.0,107030.7,2.38836734E7,128.15,101.95,3.2641244E7,0.1,0,5.1388,0.0,0.1,5.15,0.05,0.3,169.0,0.6,0.05,0.3
2022-04-16 00:10:00,0.0,0.0,0.1,0.4,0.204,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.45,11.3811,19327.25,125440.0,686128.0,106112.75,2.38814808E7,126.15,100.7,3.2641244E7,0.2,0,13.2173,0.0,0.2,9.65,0.05,0.45,169.0,0.3833,0.05,0.45
2022-04-16 00:11:00,0.0,0.0,0.05,0.1,0.1719,0.0,9.0,0,0,0,0.0,0,0.0,0.0,7.0,0.05,0.35,11.0804,22130.8,125440.0,686036.8,103309.2,2.38841772E7,116.35,89.15,3.2641244E7,0.0,0,3.8333,0.0,0.0,0.0,0.05,0.35,165.2,0.0999,0.05,0.35
2022-04-16 00:12:00,0.0,0.0,0.1,0.85,0.1744,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.15,11.0718,22211.6,125440.0,685963.6,103228.4,2.38850452E7,131.5,102.9,3.2641244E7,0.2,0,5.0392,0.0,0.2,9.7,0.05,0.15,163.1,0.85,0.05,0.15
2022-04-16 00:13:00,0.0,0.0,0.05,0.35,0.17,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.2,11.1686,21308.75,125440.0,685713.0,104131.25,2.38894622E7,119.95,95.6,3.2641244E7,0.1,0,6.3,0.0,0.1,4.7,0.05,0.2,158.25,0.3333,0.05,0.2
2022-04-16 00:14:00,0.0,0.0,0.1,0.6,0.1795,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.3,11.2894,20182.2,125440.0,685700.0,105257.8,2.38888256E7,123.95,94.25,3.2641244E7,0.2,0,8.9666,0.0,0.2,10.0,0.05,0.3,158.0,0.5,0.05,0.3
2022-04-16 00:15:00,0.0,0.0,0.05,0.4,0.179,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.2,11.4131,19029.65,125440.0,685700.0,106410.35,2.38896614E7,116.45,86.3,3.2641244E7,0.1,0,6.1818,0.0,0.1,4.0,0.05,0.2,158.0,0.3666,0.05,0.2
2022-04-16 00:16:00,0.0,0.0,0.1,0.75,0.191,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.4,11.3728,19404.6,125440.0,685700.0,106035.4,2.38845454E7,122.9,98.55,3.2641244E7,0.2,0,5.909,0.0,0.2,10.1,0.05,0.4,158.0,0.7333,0.05,0.4
2022-04-16 00:17:00,0.0,0.0,0.05,0.6,0.1714,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.2,11.5248,17987.6,125440.0,685700.0,107452.4,2.38872152E7,122.1,93.65,3.2641244E7,0.1,0,3.8333,0.0,0.1,5.3,0.05,0.2,158.0,0.6,0.05,0.2
2022-04-16 00:18:00,0.0,0.0,0.1,0.6,0.168,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.15,11.532,17920.65,125440.0,685700.0,107519.35,2.38872164E7,115.85,94.7,3.2641244E7,0.2,0,7.9714,0.0,0.2,10.0,0.05,0.15,158.0,0.5833,0.05,0.15
2022-04-16 00:19:00,0.0,0.0,0.05,0.6,0.1755,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.3,11.6806,16535.2,125440.0,685700.0,108904.8,2.38879398E7,115.5,92.6,3.2641244E7,0.1,0,3.6666,0.0,0.1,5.0,0.05,0.3,158.0,0.6,0.05,0.3
2022-04-16 00:20:00,0.0,0.0,0.1,0.75,0.1675,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.45,11.4741,18460.3,125440.0,685700.0,106979.7,2.3887401E7,121.7,96.35,3.2641244E7,0.2,0,5.8888,0.0,0.2,9.55,0.05,0.45,158.0,0.75,0.05,0.45
2022-04-16 00:21:00,0.0,0.0,0.05,0.6,0.1679,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.3,11.6123,17171.75,125440.0,685700.0,108268.25,2.38874658E7,120.2,96.35,3.2641244E7,0.1,0,4.5555,0.0,0.1,5.35,0.05,0.3,158.0,0.6,0.05,0.3
2022-04-16 00:22:00,0.0,0.0,0.1,0.5,0.1779,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.2,11.6641,16689.1,125440.0,685517.6,108750.9,2.38895712E7,134.25,98.45,3.2641244E7,0.2,0,8.9666,0.0,0.2,10.55,0.05,0.2,156.1,0.5,0.05,0.2
2022-04-16 00:23:00,0.0,0.0,0.05,0.55,0.1785,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.05,0.45,11.7638,15759.05,125440.0,685508.0,109680.95,2.38896294E7,114.1,87.4,3.2641244E7,0.1,0,4.7419,0.0,0.1,4.9,0.05,0.45,156.0,0.5166,0.05,0.45
2022-04-16 00:24:00,0.0,0.0,0.1,0.85,0.17,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.3,11.7407,15975.25,125440.0,685508.0,109464.75,2.38891116E7,127.25,104.25,3.2641244E7,0.2,0,4.9215,0.0,0.2,9.25,0.05,0.3,156.0,0.85,0.05,0.3
2022-04-16 00:25:00,0.0,0.0,0.05,0.5,0.192,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.0,0.0,11.8341,15103.6,125440.0,685245.8,110336.4,2.38905726E7,133.75,99.7,3.2641244E7,0.1,0,3.8333,0.0,0.1,4.45,0.0,0.0,153.15,0.5,0.0,0.0
2022-04-16 00:26:00,0.0,0.0,0.2,0.8,0.1815,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.1,0.45,11.6698,16635.8,125440.0,685175.0,108804.2,2.38884228E7,122.15,99.6,3.2641244E7,0.2,0,5.6363,0.0,0.2,9.05,0.1,0.45,151.1,0.7333,0.1,0.45
2022-04-16 00:27:00,0.0,0.0,0.05,0.6,0.176,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.0,0.0,11.8281,15160.15,125440.0,684966.8,110279.85,2.38931204E7,103.4,81.45,3.2641244E7,0.1,0,4.3055,0.0,0.1,4.7,0.0,0.0,149.1,0.6,0.0,0.0
2022-04-16 00:28:00,0.0,0.0,0.1,0.85,0.1739,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.1,0.7,11.6822,16520.05,125440.0,684914.2,108919.95,2.38949436E7,122.95,99.6,3.2641244E7,0.2,0,4.8627,0.0,0.2,9.15,0.1,0.7,148.05,0.85,0.1,0.7
2022-04-16 00:29:00,0.0,0.0,0.05,0.6,0.1635,0.0,9.0,0,0,0,0.1,0,0.0,0.0,7.0,0.0,0.0,11.8364,15082.6,125440.0,684912.0,110357.4,2.389525E7,122.6,90.7,3.2641244E7,0.1,0,3.9444,0.0,0.1,4.85,0.0,0.0,148.0,0.6,0.0,0.0
2022-04-16 00:30:00,0.0,0.0,0.1,0.5,0.1635,0.0,9.0,0,0,0,0.2,0,0.0,0.0,7.0,0.05,0.25,11.7678,15722.65,125440.0,684912.0,109717.35,2.38939592E7,123.65,98.15,3.2641244E7,0.2,0,9.1034,0.0,0.2,9.75,0.05,0.25,148.0,0.4833,0.05,0.25
2022-04-16 00:31:00,0.05,0.1,1.05,3.75,0.3015,0.65,9.0,0,0,0,8.55,0,0.0,0.0,7.0,0.9,7.1,11.424,18927.75,125440.0,684916.8,106512.25,2.38930802E7,462.2,525.5,3.2641244E7,23.2,0,43.7731,0.0,23.2,170.35,0.9,7.1,148.7,3.6,0.9,7.1
2022-04-16 00:32:00,0.0,0.05,1.1,3.7,0.3285,0.5,9.0,0,0,0,8.25,0,0.0,0.0,7.0,0.85,5.35,11.7782,15471.35,125286.4,684764.8,109815.05,2.38909716E7,403.15,447.4,3.2641244E7,21.9,0,64.421,0.0,21.9,322.5,0.85,5.35,148.6,3.4833,0.85,5.35
2022-04-16 00:33:00,0.0,0.25,0.95,3.8,0.3279,0.55,9.0,0,0,0,9.65,0,0.0,0.0,7.0,0.9,7.3,12.2407,10801.55,124928.0,684384.0,114126.45,2.38888776E7,420.5,482.5,3.2641244E7,25.45,0,32.7627,0.0,25.45,76.65,0.9,7.3,148.7,3.5833,0.9,7.3
2022-04-16 00:34:00,0.0,0.0,1.15,3.7,0.3885,0.6,9.0,0,0,0,8.9,0,0.05,6.9,7.0,0.9,13.35,10.472,26062.75,123699.2,683148.8,97636.45,2.38852616E7,468.8,529.05,3.2641244E7,22.4,0,28.9528,0.0,22.4,99.85,0.9,13.35,148.7,3.5333,0.85,6.45
2022-04-16 00:35:00,0.0,0.0,0.8,3.35,0.3409,0.6,9.0,0,0,0,8.1,0,0.0,0.0,7.0,0.8,5.35,10.4435,26021.5,123392.0,682938.6,97370.5,2.38821832E7,411.45,462.15,3.2641244E7,19.8,0,29.2473,0.0,19.8,80.7,0.8,5.35,148.65,3.1666,0.8,5.35
