time,active_sessions,buffer_busy_waits,concurrency_wait_time,consistent_gets,cpu_used_by_this_session,db_block_changes,db_block_gets,db_file_scattered_read,db_file_sequential_read,db_time,enqueue_requests,enqueue_waits,execute_count,file_io_service_time,file_io_wait_time,free_buffer_waits,gc_cr_blocks_received,gc_cr_request,gc_current_blocks_received,global_enqueue_gets_async,global_enqueue_gets_sync,library_cache_lock,lock_waiting_sessions,log_buffer_space,log_file_sync,non_idle_wait_time,opened_cursors_cumulative,opened_cursors_current,parse_count_failures,parse_count_hard,parse_count_total,parse_time_cpu,parse_time_elapsed,physical_reads,physical_reads_direct,physical_writes,physical_writes_direct,recursive_calls,redo_size,row_cache_lock,session_logical_reads,user_calls,user_commits,user_rollbacks
2022-05-20 00:00:00,42,0,1652,2815,7,209,203,0,0,1,249,0,375,0,3905,0,0,0,0,0,0,0,0,0,0,64953,368,142,0,12,169,1,2,1,0,0,0,1031,62968,0,3019,1,0,0
2022-05-20 00:01:00,43,0,0,0,0,0,0,0,0,0,216,0,0,0,6824,0,0,0,0,0,0,0,0,0,0,19526,0,142,0,0,0,0,0,0,0,0,0,11,55,0,0,0,0,0
2022-05-20 00:02:00,44,0,0,55,0,0,0,0,0,0,217,0,9,0,2983,0,0,0,0,0,0,0,0,0,0,15393,8,141,0,0,4,0,0,0,0,0,0,69,51,0,55,0,0,0
2022-05-20 00:03:00,45,0,638,8351,30,348,371,0,0,13,254,0,605,0,6723,0,0,0,0,0,0,0,0,0,0,364094,588,145,0,9,299,3,3,2,0,1,0,1858,53296,0,8722,0,2,0
2022-05-20 00:04:00,46,0,0,32885,23,366,386,0,0,217,254,0,265,0,6597,0,0,0,0,0,0,0,0,0,0,285176,254,145,0,10,80,1,1,0,0,1,0,801,55394,0,33272,0,4,0
2022-05-20 00:05:00,46,0,13,2,0,0,0,0,0,0,217,0,0,0,68137,0,0,0,0,0,0,0,0,0,0,87301,0,142,0,0,0,0,0,0,0,12,0,13,725,0,2,0,0,0
2022-05-20 00:06:00,47,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7793,0,142,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0
2022-05-20 00:07:00,46,0,0,35,0,0,0,0,0,0,217,0,1,0,104,0,0,0,0,0,0,0,0,0,0,10733,1,141,0,0,0,0,0,0,0,0,0,15,62,0,35,0,0,0
2022-05-20 00:08:00,47,0,0,3,0,0,0,0,0,0,216,0,0,2,46974,0,0,0,0,0,0,0,0,0,0,61280,0,141,0,0,0,0,0,0,0,7,0,13,573,0,3,0,0,0
2022-05-20 00:09:00,50,0,0,7,0,0,0,0,0,0,216,0,0,7,196459,0,0,0,0,0,0,0,0,0,0,214491,0,141,0,0,0,0,0,0,0,22,0,12,1510,0,7,0,0,0
2022-05-20 00:10:00,51,0,0,36,0,8,6,0,0,1,220,0,12,0,739,0,0,0,0,0,0,0,0,0,0,39374,11,141,0,1,9,0,0,0,0,0,0,61,1583,0,43,0,0,0
2022-05-20 00:11:00,52,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128,0,141,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0
2022-05-20 00:12:00,53,0,18,1,0,1,0,0,0,0,217,0,0,0,678,0,0,0,0,0,0,0,0,0,0,16532,0,141,0,0,0,0,0,0,0,0,0,13,139,0,2,0,0,0
2022-05-20 00:13:00,53,0,0,37506,20,2005,2218,0,0,2,263,0,629,0,5040,0,0,0,0,0,0,0,0,0,0,303960,618,142,0,2,287,0,0,0,0,0,0,1778,311942,0,39724,0,2,0
2022-05-20 00:14:00,52,0,0,1022,12,5,14,0,0,187,217,0,1,0,589,0,0,0,0,0,0,0,0,0,0,16461,1,141,0,0,1,0,0,0,0,0,0,18,265,0,1037,0,0,0
2022-05-20 00:15:00,52,0,0,3440,7,86,350,0,0,79,230,0,121,0,641793,0,0,0,0,0,0,0,0,0,0,877205,121,144,0,0,118,0,0,6,0,237,234,382,12856,0,3790,0,0,0
2022-05-20 00:16:00,51,0,0,12,1,31,91,0,0,0,217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17374,2,141,0,0,1,0,0,0,0,0,0,17,333,0,103,0,0,0
2022-05-20 00:17:00,51,0,0,1,0,0,0,0,0,0,216,0,0,0,2969,0,0,0,0,0,0,0,0,0,0,15350,0,141,0,0,0,0,0,0,0,1,0,12,114,0,2,0,0,0
2022-05-20 00:18:00,50,0,0,344,0,0,0,0,0,0,215,0,3,8,210660,0,0,0,0,0,0,0,0,0,0,227161,3,141,0,0,1,0,0,0,0,41,0,27,2082,0,344,0,0,0
2022-05-20 00:19:00,48,0,0,11,0,0,0,0,0,0,217,0,1,5,136994,0,0,0,0,0,0,0,0,0,0,149835,1,141,0,0,0,0,0,0,0,12,0,16,946,0,11,0,0,0
2022-05-20 00:20:00,48,0,0,0,0,0,0,0,0,0,216,0,0,0,23425,0,0,0,0,0,0,0,0,0,0,36059,0,141,0,0,0,0,0,0,0,4,0,12,302,0,0,0,0,0
2022-05-20 00:21:00,47,0,0,0,0,0,0,0,0,0,216,0,0,0,315,0,0,0,0,0,0,0,0,0,0,15181,0,141,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0
2022-05-20 00:22:00,47,0,0,10,0,1,1,0,0,134,200,0,3,0,451,0,0,0,0,0,0,0,0,0,0,15276,3,141,0,0,2,0,0,0,0,0,0,25,521,0,12,0,0,0
2022-05-20 00:23:00,47,0,1,36156,22,1853,2293,0,0,128,33,0,492,0,6307,0,0,0,0,0,0,0,0,0,0,179631,489,142,0,1,266,0,0,1,0,0,0,1320,260367,0,38450,0,1,0
2022-05-20 00:24:00,46,0,0,4,0,5,12,0,0,150,3,0,1,0,724,0,0,0,0,0,0,0,0,0,0,15875,1,141,0,0,0,0,0,0,0,0,0,10,177,0,17,0,0,0
2022-05-20 00:25:00,45,0,0,0,0,0,0,0,0,0,2,0,0,0,1249,0,0,0,0,0,0,0,0,0,0,10246,0,141,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0
2022-05-20 00:26:00,44,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8099,0,141,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0
2022-05-20 00:27:00,44,0,0,1,0,0,0,0,0,0,3,0,0,0,2536,0,0,0,0,0,0,0,0,0,0,13166,0,141,0,0,0,0,0,0,0,0,0,7,73,0,2,0,0,0
2022-05-20 00:28:00,44,0,0,0,0,0,0,0,0,0,3,0,0,5,227617,0,0,0,0,0,0,0,0,0,0,243206,0,141,0,0,0,0,0,0,0,43,0,7,2252,0,1,0,0,0
2022-05-20 00:29:00,44,0,0,7,0,0,0,0,0,0,2,0,0,0,43714,0,0,0,0,0,0,0,0,0,0,53421,0,141,0,0,0,0,0,0,0,4,0,6,360,0,7,0,0,0
2022-05-20 00:30:00,43,0,0,681,0,4,3,0,0,0,5,0,115,0,0,0,0,0,0,0,0,0,0,0,0,11196,115,141,0,0,115,0,0,0,0,0,0,352,698,0,685,0,0,0
2022-05-20 00:31:00,43,0,60,98,1,25,30,0,0,12,16,0,18,0,1,0,0,0,0,0,0,0,0,0,10,231554,19,141,0,0,19,0,0,0,0,0,0,189,4005,0,128,18,2,0
2022-05-20 00:32:00,43,0,42,100,2,22,26,0,0,11,16,0,18,0,602,0,0,0,0,0,0,0,0,0,10,217142,20,141,0,0,20,0,0,0,0,0,0,196,4087,0,127,18,2,0
2022-05-20 00:33:00,44,0,70,36453,23,630,698,0,0,41,46,0,515,0,3202,0,0,0,0,0,0,0,0,0,12,412778,515,142,0,1,283,0,0,0,0,0,0,1556,97988,0,37151,18,4,0
2022-05-20 00:34:00,43,0,0,90,2,22,33,0,0,157,13,0,17,0,791,0,0,0,0,0,0,0,0,0,6,156652,18,141,0,0,15,0,0,0,0,0,0,141,3620,0,124,13,1,0
2022-05-20 00:35:00,43,0,0,66,1,16,19,0,0,6,12,0,12,0,8203,0,0,0,0,0,0,0,0,0,5,137546,13,141,0,0,13,0,0,0,0,2,0,130,2923,0,86,13,1,0
2022-05-20 00:36:00,43,0,11,64,1,15,18,0,0,6,12,0,12,0,8062,0,0,0,0,0,0,0,0,0,5,123312,13,141,0,0,13,0,0,0,0,4,0,126,3055,0,82,13,1,0
2022-05-20 00:37:00,43,0,0,58,1,13,16,0,0,6,11,0,11,0,1484,0,0,0,0,0,0,0,0,0,5,121252,12,141,0,0,12,0,0,0,0,0,0,112,2500,0,75,11,1,0
2022-05-20 00:38:00,43,0,7,57,1,15,18,0,0,6,12,0,11,5,172157,0,0,0,0,0,0,0,0,0,5,303690,12,141,0,0,12,0,0,0,0,25,0,113,4738,0,76,11,1,0
2022-05-20 00:39:00,43,0,33,74,1,16,19,0,0,7,13,0,13,0,3375,0,0,0,0,0,0,0,0,0,7,158026,14,141,0,0,14,0,0,0,0,0,0,131,2868,0,93,13,1,0
2022-05-20 00:40:00,43,0,13,66,1,17,20,0,0,7,13,0,13,0,1412,0,0,0,0,0,0,0,0,0,6,135178,13,141,0,0,13,0,0,0,0,0,0,129,3470,0,86,13,1,0
2022-05-20 00:41:00,43,0,2,400,1,17,20,0,0,7,73,0,13,0,7371,0,0,0,0,0,0,0,0,0,6,155755,14,141,0,0,14,0,0,0,0,1,0,133,3264,0,420,14,2,0
2022-05-20 00:42:00,43,0,50,67,1,15,18,0,0,8,227,0,13,0,1453,0,0,0,0,0,0,0,0,0,7,166460,13,141,0,0,13,0,0,0,0,0,0,134,2719,0,85,13,1,0
2022-05-20 00:43:00,44,0,19,36114,22,469,528,0,0,35,253,0,502,0,4170,0,0,0,0,0,0,0,0,0,8,327365,500,142,0,0,275,0,0,0,0,1,0,1360,70534,0,36643,13,3,0
2022-05-20 00:44:00,43,0,4,86,2,20,32,0,0,157,226,0,16,0,2277,0,0,0,0,0,0,0,0,0,6,146054,17,141,0,0,14,0,0,0,0,0,0,139,4076,0,118,13,1,0
2022-05-20 00:45:00,43,0,23,756,2,24,25,0,0,9,229,0,131,0,1282,0,0,0,0,0,0,0,0,0,8,197816,131,141,0,0,130,0,0,0,0,0,0,486,4290,0,781,13,2,0
2022-05-20 00:46:00,43,0,1,65,1,17,20,0,0,10,226,0,12,0,7362,0,0,0,0,0,0,0,0,0,9,215669,13,141,0,0,13,0,0,0,0,1,0,133,3274,0,86,13,1,0
2022-05-20 00:47:00,43,0,90,68,1,16,19,0,0,8,226,0,13,0,2851,0,0,0,0,0,0,0,0,0,7,172881,14,141,0,0,14,0,0,0,0,1,0,135,2968,0,88,13,1,0
