time,active_sessions,buffer_busy_waits,concurrency_wait_time,consistent_gets,cpu_used_by_this_session,db_block_changes,db_block_gets,db_file_scattered_read,db_file_sequential_read,db_time,enqueue_requests,enqueue_waits,execute_count,file_io_service_time,file_io_wait_time,free_buffer_waits,gc_cr_blocks_received,gc_cr_request,gc_current_blocks_received,global_enqueue_gets_async,global_enqueue_gets_sync,library_cache_lock,lock_waiting_sessions,log_buffer_space,log_file_sync,non_idle_wait_time,opened_cursors_cumulative,opened_cursors_current,parse_count_failures,parse_count_hard,parse_count_total,parse_time_cpu,parse_time_elapsed,physical_reads,physical_reads_direct,physical_writes,physical_writes_direct,recursive_calls,redo_size,row_cache_lock,session_logical_reads,user_calls,user_commits,user_rollbacks
2022-06-17 00:00:00,42,0,545,1124,4,160,163,0,0,1,232,0,227,0,7760,0,0,0,0,0,0,0,0,0,0,54781,223,141,0,10,38,1,1,1,0,1,0,573,56730,0,1287,1,0,0
2022-06-17 00:01:00,42,0,0,987,1,5,5,0,0,0,219,0,24,0,5180,0,0,0,0,0,0,0,0,0,0,29010,23,141,0,1,7,0,0,0,0,0,0,111,817,0,993,0,0,0
2022-06-17 00:02:00,43,0,0,872,1,47,31,0,0,0,232,0,150,0,8024,0,0,0,0,0,0,0,0,0,0,33595,147,141,0,1,139,0,0,0,0,0,0,478,7002,0,904,0,0,0
2022-06-17 00:03:00,44,0,0,7,0,0,0,0,0,0,216,0,0,0,5086,0,0,0,0,0,0,0,0,0,0,18131,0,141,0,0,0,0,0,0,0,0,0,12,53,0,7,0,0,0
2022-06-17 00:04:00,44,0,0,0,0,0,0,0,0,0,216,0,0,4,160093,0,0,0,0,0,0,0,0,0,0,176675,0,141,0,0,0,0,0,0,0,20,0,11,1351,0,0,0,0,0
2022-06-17 00:05:00,44,0,0,1,0,0,0,0,0,0,216,0,0,0,2068,0,0,0,0,0,0,0,0,0,0,9701,0,141,0,0,0,0,0,0,0,0,0,13,23,0,2,0,0,0
2022-06-17 00:06:00,44,0,2,1,0,0,0,0,0,0,216,0,0,0,73624,0,0,0,0,0,0,0,0,0,0,88219,0,141,0,0,0,0,0,0,0,13,0,12,771,0,1,0,0,0
2022-06-17 00:07:00,44,0,0,0,0,0,0,0,0,0,216,0,0,0,1797,0,0,0,0,0,0,0,0,0,0,9177,0,141,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0
2022-06-17 00:08:00,44,0,0,31526,15,3,4,0,0,0,223,0,45,0,0,0,0,0,0,0,0,0,0,0,0,22053,41,143,0,3,20,1,1,0,0,0,0,239,527,0,31530,0,0,0
2022-06-17 00:09:00,46,0,42,86928,139,1110,1427,0,0,181,288,0,838,0,5585,0,0,0,0,0,0,0,0,0,0,603913,817,149,0,19,384,3,5,18,0,0,0,2546,153679,0,88355,0,5,0
