time,active_sessions,buffer_busy_waits,concurrency_wait_time,consistent_gets,cpu_used_by_this_session,db_block_changes,db_block_gets,db_file_scattered_read,db_file_sequential_read,db_time,enqueue_requests,enqueue_waits,execute_count,file_io_service_time,file_io_wait_time,free_buffer_waits,gc_cr_blocks_received,gc_cr_request,gc_current_blocks_received,global_enqueue_gets_async,global_enqueue_gets_sync,library_cache_lock,lock_waiting_sessions,log_buffer_space,log_file_sync,non_idle_wait_time,opened_cursors_cumulative,opened_cursors_current,parse_count_failures,parse_count_hard,parse_count_total,parse_time_cpu,parse_time_elapsed,physical_reads,physical_reads_direct,physical_writes,physical_writes_direct,recursive_calls,redo_size,row_cache_lock,session_logical_reads,user_calls,user_commits,user_rollbacks
2022-07-03 00:00:00,68,0,1567,4075,18,197,235,0,0,7,14,0,45,0,23008,0,0,0,0,0,76,0,0,0,0,281273,46,112,0,1,18,0,0,0,0,0,0,115,68932,0,4311,2,0,0
2022-07-03 00:01:00,68,0,8,9,1,0,0,0,0,0,4,0,0,0,24849,0,0,0,0,0,7,0,0,0,0,180709,0,111,0,0,0,0,0,0,0,1,0,7,72,0,9,0,0,0
2022-07-03 00:02:00,69,0,0,2,2,0,0,0,0,0,4,0,0,0,8140,0,0,0,0,0,7,0,0,0,0,138656,0,112,0,0,0,0,0,0,0,1,0,7,97,0,2,0,0,0
2022-07-03 00:03:00,69,0,308,4286,15,43,34,0,0,0,19,0,226,0,28417,0,0,0,0,2,183,0,0,0,0,325180,223,112,0,0,78,1,1,0,0,0,0,470,6573,0,4321,0,0,0
2022-07-03 00:04:00,72,0,6731,45677,90,1503,1737,0,25,247,68,0,558,19,295011,0,0,0,0,46,600,0,0,0,0,1162002,554,121,0,3,151,4,4,16,0,2,1,1508,232880,0,47415,0,6,0
2022-07-03 00:05:00,70,0,46,19,3,10,24,0,0,50,57,0,3,96,18997,0,0,0,0,0,28,0,0,0,0,151996,3,112,0,0,1,0,0,0,0,1,0,15,514,0,43,0,0,0
2022-07-03 00:06:00,71,0,14,1,1,0,0,0,0,0,55,0,0,0,285746,0,0,0,0,0,18,0,0,0,0,428557,0,112,0,0,0,0,0,0,0,16,0,8,887,0,1,0,0,0
2022-07-03 00:07:00,71,0,29,2,3,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,18,0,0,0,0,75188,0,112,0,0,0,0,0,0,0,0,0,10,174,0,2,0,0,0
2022-07-03 00:08:00,71,0,238,1,1,0,0,0,0,0,55,0,0,0,28,0,0,0,0,0,18,0,0,0,0,66811,0,112,0,0,0,0,0,0,0,0,0,8,4,0,1,0,0,0
2022-07-03 00:09:00,71,0,17,2,2,0,0,0,0,0,55,0,0,0,370268,0,0,0,0,0,18,0,0,0,0,487348,0,112,0,0,0,0,0,0,0,48,0,9,2856,0,2,0,0,0
2022-07-03 00:10:00,71,0,229,28,3,9,12,0,0,2,58,0,8,0,3514,0,0,0,0,1,80,0,0,0,0,125737,8,112,0,0,5,0,0,0,0,0,0,40,1221,0,41,0,0,0
2022-07-03 00:11:00,71,0,13,11,2,0,0,0,0,0,55,0,1,0,8985,0,0,0,0,0,18,0,0,0,0,131172,1,112,0,0,0,0,0,0,0,0,0,10,46,0,11,0,0,0
2022-07-03 00:12:00,71,0,9,2,2,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,18,0,0,0,0,147906,0,113,0,0,0,0,0,0,0,0,0,9,99,0,2,0,0,0
2022-07-03 00:13:00,71,0,20,1054,2,0,0,0,0,0,56,0,4,0,6787,0,0,0,0,0,136,0,0,0,0,174069,4,113,0,0,1,0,1,0,0,0,0,20,27,0,1055,0,0,0
2022-07-03 00:14:00,73,0,11759,5715,80,692,839,0,0,120,75,0,420,16,26569,0,0,0,0,18,275,0,0,0,0,946781,418,116,0,1,103,3,5,0,0,0,0,925,103190,0,6554,0,1,0
2022-07-03 00:15:00,73,0,6916,26221,43,40,129,0,2,76,57,0,9,89,2762778,0,0,0,0,1,61,0,0,0,4,1057306,9,123,0,0,6,2,5,0,0,61,59,38,3849,0,26351,0,0,0
2022-07-03 00:16:00,73,0,68,5816,6,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,16,0,0,0,0,426640,0,124,0,0,0,0,0,0,0,0,0,8,0,0,5816,0,0,0
2022-07-03 00:17:00,73,0,86,5927,59,25,208,0,0,0,52,0,0,0,5423091,0,0,0,0,0,23,0,0,0,0,1014411,0,124,0,0,0,0,0,0,0,163,163,11,2638,0,6136,0,0,0
2022-07-03 00:18:00,73,0,22920,15977,43,75,385,4,1,274,54,0,4,89,6027694,0,0,0,0,0,25,0,0,0,0,894020,4,125,0,0,1,0,1,33,0,172,172,20,3241,0,16362,0,0,0
2022-07-03 00:19:00,72,0,1736,7589,27,15,32,0,0,49,55,0,41,0,378135,0,0,0,0,0,26,0,0,0,0,590305,40,119,0,0,38,0,1,0,0,15,15,126,8464,0,7621,0,0,0
2022-07-03 00:20:00,73,0,205412,11634,231,0,1,0,0,691,46,0,1,0,678598,0,0,0,0,0,42,0,0,0,0,1238556,1,120,0,0,1,0,4,0,0,7,0,13,587,0,11635,0,0,0
2022-07-03 00:21:00,72,0,408021,14392,44,0,0,0,12,200,49,0,62,0,1050640,0,0,0,0,0,89,0,0,0,0,1762947,61,115,0,4,7,8,65,1,0,15,0,147,933,1,14393,0,0,0
2022-07-03 00:23:00,72,0,839,28847,9,0,1,0,0,154,5,0,16,0,141292,0,0,0,0,0,185,0,0,0,0,648406,16,118,0,0,3,2,5,0,0,1,0,62,153,0,28848,0,0,0
2022-07-03 00:24:00,74,0,12577,28530,202,563,643,0,0,101,42,0,553,9,109705,0,0,0,0,17,2691,0,0,0,0,880237,533,121,0,12,145,7,11,0,0,2,0,1500,86278,0,29173,0,1,0
2022-07-03 00:25:00,71,0,164,39165,20,7,7,0,0,210,7,0,9,0,27860,0,0,0,0,0,82,0,0,0,0,231963,9,113,0,0,4,0,1,0,0,1,0,32,1218,0,39172,0,0,0
2022-07-03 00:26:00,71,0,0,4,5,0,0,0,0,0,4,0,1,0,12444,0,0,0,0,0,8,0,0,0,0,129458,1,112,0,0,0,0,0,0,0,0,0,9,38,0,4,0,0,0
2022-07-03 00:27:00,70,0,0,3,3,0,0,0,0,0,4,0,1,0,6474,0,0,0,0,0,8,0,0,0,0,134182,0,112,0,0,0,0,0,0,0,0,0,9,36,0,3,0,0,0
2022-07-03 00:28:00,70,0,13,617,3,0,0,0,0,0,5,0,12,0,6890,0,0,0,0,0,55,0,0,0,0,117651,13,112,0,0,5,0,0,0,0,0,0,65,373,0,617,0,0,0
2022-07-03 00:29:00,70,0,156,2,3,0,0,0,0,0,4,0,1,0,25657,0,0,0,0,0,8,0,0,0,0,153724,0,112,0,0,0,0,0,0,0,2,0,8,153,0,2,0,0,0
2022-07-03 00:30:00,70,0,63,5,1,0,0,0,0,0,4,0,0,0,296255,0,0,0,0,0,11,0,0,0,0,444781,0,112,0,0,0,0,0,0,0,23,0,8,1460,0,5,0,0,0
2022-07-03 00:31:00,71,0,5066,106,6,88,93,0,1,85,42,0,53,0,17379,0,0,0,0,0,50,0,0,0,78,1622041,53,114,0,0,50,0,1,0,0,0,0,36,15678,0,200,97,14,0
2022-07-03 00:32:00,72,0,394,57,4,89,94,0,0,81,43,0,51,0,1098,0,0,0,0,0,30,0,0,0,77,1552307,51,116,0,0,50,0,0,0,0,0,0,23,16187,0,151,101,15,0
2022-07-03 00:33:00,73,0,127,1235,12,90,96,0,0,52,45,0,56,0,2666,0,0,0,0,0,153,0,0,0,49,1085717,55,116,0,0,52,0,1,0,0,0,0,36,16668,0,1331,102,15,0
2022-07-03 00:34:00,78,3,45492,9764,76,2798,3366,0,0,335,79,0,664,9,12160,0,0,0,0,33,600,0,0,0,151,3309750,652,121,0,4,203,4,7,0,0,0,0,1632,425470,0,13130,63,12,0
2022-07-03 00:35:00,77,0,4687,9806,32,73,85,0,0,123,36,0,71,99,34715,0,0,0,0,0,197,0,0,0,97,1879923,65,126,0,2,51,2,4,0,0,0,0,174,12262,0,9891,75,11,0
