time,active_sessions,buffer_busy_waits,concurrency_wait_time,consistent_gets,cpu_used_by_this_session,db_block_changes,db_block_gets,db_file_scattered_read,db_file_sequential_read,db_time,enqueue_requests,enqueue_waits,execute_count,file_io_service_time,file_io_wait_time,free_buffer_waits,gc_cr_blocks_received,gc_cr_request,gc_current_blocks_received,global_enqueue_gets_async,global_enqueue_gets_sync,library_cache_lock,lock_waiting_sessions,log_buffer_space,log_file_sync,non_idle_wait_time,opened_cursors_cumulative,opened_cursors_current,parse_count_failures,parse_count_hard,parse_count_total,parse_time_cpu,parse_time_elapsed,physical_reads,physical_reads_direct,physical_writes,physical_writes_direct,recursive_calls,redo_size,row_cache_lock,session_logical_reads,user_calls,user_commits,user_rollbacks
2022-07-04 00:00:00,69,0,2271,4121,17,197,210,0,0,55,13,0,46,0,5641,0,0,0,0,0,61,0,0,0,0,155166,47,112,0,0,19,0,0,0,0,0,0,117,69864,0,4332,2,0,0
2022-07-04 00:01:00,69,0,0,1,1,0,0,0,0,0,4,0,0,0,3238,0,0,0,0,0,7,0,0,0,0,93388,0,112,0,0,0,0,0,0,0,0,0,7,44,0,1,0,0,0
2022-07-04 00:02:00,70,0,27,3,1,0,0,0,0,0,4,0,1,0,3085,0,0,0,0,0,12,0,0,0,0,64415,1,112,0,0,0,0,0,0,0,0,0,9,104,0,3,0,0,0
2022-07-04 00:03:00,71,0,0,8,2,0,0,0,0,0,4,0,0,0,160960,0,0,0,0,0,7,0,0,0,0,247268,0,112,0,0,0,0,0,0,0,23,0,7,1473,0,8,0,0,0
2022-07-04 00:04:00,72,0,0,2,1,0,0,0,0,0,4,0,0,0,17294,0,0,0,0,0,7,0,0,0,0,138859,0,112,0,0,0,0,0,0,0,0,0,7,69,0,2,0,0,0
2022-07-04 00:05:00,72,0,19,2,3,0,0,0,0,0,4,0,0,0,182615,0,0,0,0,0,8,0,0,0,0,347936,0,113,0,0,0,0,0,0,0,16,0,8,947,0,2,0,0,0
2022-07-04 00:06:00,72,0,169,235,6,23,16,0,0,0,13,0,45,0,0,0,0,0,0,1,23,0,0,0,0,208115,43,113,0,0,40,0,0,0,0,0,0,134,3518,0,252,0,0,0
2022-07-04 00:07:00,73,0,6018,5694,43,87,90,0,14,0,20,0,316,0,125411,0,0,0,0,10,314,0,0,0,0,875968,315,118,0,0,88,3,6,2,0,0,0,663,13610,0,5785,0,0,0
2022-07-04 00:08:00,74,0,7137,2803,68,570,604,0,34,183,59,0,185,19,371081,0,0,0,0,14,202,0,0,0,0,1720284,184,125,0,1,36,4,12,6,0,0,0,534,94605,0,3408,0,2,0
2022-07-04 00:09:00,73,0,2109,2758,36,425,567,0,0,51,56,0,10,0,13675,0,0,0,0,3,60,0,0,0,0,528136,10,121,0,0,7,2,6,0,0,0,0,36,57652,0,3325,0,0,0
